imonth,extended,crit1,crit2,crit3,doubtterr,longitude,latitude,attacktype1,success,suicide,weaptype1,weapsubtype1,targtype1,targsubtype1,gname,nperps,nperpcap,claimed,nkill,nkillter,nwound,nwoundte,property,ishostkid,hostkidoutcome,city,weaptype1_txt,targtype1_txt,attacktype1_txt
7,0,1,1,1,0,74.092404,33.767001,2,1,0,5,-1,14,69,Unknown,-1,0,0,9,0,0,0,1,0,-1,Poonch District,Firearms,Private Citizens & Property,Armed Assault
7,1,1,1,1,0,74.656667,34.415556,6,1,0,6,7,4,27,Lashkar-e-Taiba (LeT),6,0,1,1,1,0,0,1,1,5,Madar,Explosives,Military,Hostage Taking (Kidnapping)
7,0,1,1,1,0,74.63827,34.419539,2,1,0,5,2,4,27,Unknown,-1,0,0,5,0,2,0,-1,0,-1,Bandipora,Firearms,Military,Armed Assault
7,0,1,1,1,0,74.72187,34.016396,2,1,0,6,11,3,25,Unknown,-1,0,0,0,0,0,0,0,0,-1,Budgam,Explosives,Police,Armed Assault
7,0,1,1,1,0,76.576171,33.778175,2,1,0,5,-1,3,25,Hizbul Mujahideen (HM),-1,0,0,15,0,5,0,1,0,-1,Lehota,Firearms,Police,Armed Assault
7,0,1,1,1,0,74.25388,33.795977,2,1,0,5,2,2,15,Hizbul Mujahideen (HM),-1,0,0,4,0,1,0,0,0,-1,Mandi,Firearms,Government (General),Armed Assault
7,0,1,1,1,0,74.353867,34.205605,3,1,0,6,7,14,68,Unknown,-1,0,0,3,0,14,0,1,0,-1,Baramulla,Explosives,Private Citizens & Property,Bombing/Explosion
7,0,1,1,1,0,75.157913,33.732216,3,0,0,6,7,3,23,Unknown,-1,0,0,0,0,8,0,1,0,-1,Anantnag,Explosives,Police,Bombing/Explosion
7,0,1,1,1,0,76.576171,33.778175,3,1,0,6,11,3,25,Unknown,-1,0,0,0,0,0,0,1,0,-1,Humahama,Explosives,Police,Bombing/Explosion
8,0,1,1,1,1,74.322821,34.426355,2,1,0,6,11,4,27,Hizbul Mujahideen (HM),-1,0,0,11,6,13,3,1,0,-1,Chaki Natnusa,Explosives,Military,Armed Assault
8,0,1,1,1,1,74.254614,34.526179,2,1,0,5,-1,4,35,Hizbul Mujahideen (HM),-1,0,1,4,0,-1,-1,1,0,-1,Kupwara,Firearms,Military,Armed Assault
8,0,1,1,1,1,74.173172,34.514753,3,1,0,6,11,4,27,Unknown,-1,0,0,1,0,6,0,1,0,-1,Trehgam,Explosives,Military,Bombing/Explosion
8,0,1,1,1,1,74.676269,34.256142,3,1,0,6,11,4,27,Unknown,-1,0,0,3,0,9,0,1,0,-1,Manasbal,Explosives,Military,Bombing/Explosion
8,0,1,1,1,1,75.31498,34.016075,3,1,0,6,11,4,27,Unknown,-1,0,0,-1,-1,-1,-1,1,0,-1,Pahalgam,Explosives,Military,Bombing/Explosion
8,0,1,1,1,1,74.589592,34.092796,3,1,0,6,11,4,27,Unknown,-1,0,0,-1,-1,-1,-1,1,0,-1,Magam,Explosives,Military,Bombing/Explosion
8,0,1,1,1,1,74.853637,33.822873,3,1,0,6,11,4,27,Unknown,-1,0,0,-1,-1,-1,-1,1,0,-1,Rajpora,Explosives,Military,Bombing/Explosion
8,0,1,1,1,1,74.449553,34.455549,3,1,0,6,11,4,34,Unknown,-1,0,0,2,0,7,0,1,0,-1,Devar Lolab,Explosives,Military,Bombing/Explosion
8,0,1,1,1,0,75.285157,33.035542,3,1,0,6,11,3,22,Lashkar-e-Taiba (LeT),-1,0,1,-1,-1,-1,-1,1,0,-1,Chenani,Explosives,Police,Bombing/Explosion
8,0,1,1,1,0,75.285157,33.035542,3,1,0,6,8,3,23,Lashkar-e-Taiba (LeT),-1,0,1,4,0,12,0,1,0,-1,Chenani,Explosives,Police,Bombing/Explosion
9,0,1,1,1,0,75.548049,33.14575,3,1,0,6,7,22,109,Unknown,-1,0,0,0,0,11,0,1,0,-1,Doda,Explosives,Violent Political Party,Bombing/Explosion
9,0,1,1,1,1,74.424533,34.05998,3,1,0,6,-1,4,39,Unknown,-1,0,0,0,0,4,0,1,0,-1,Tangmang,Explosives,Military,Bombing/Explosion
9,0,1,1,1,1,76.576171,33.778175,3,1,0,6,-1,4,39,Unknown,-1,0,0,1,0,4,0,1,0,-1,Laudara,Explosives,Military,Bombing/Explosion
9,0,1,1,1,0,75.07489,33.991776,1,0,0,6,8,2,15,Unknown,-1,0,0,0,0,8,0,1,0,-1,Pastun,Explosives,Government (General),Assassination
9,0,1,1,1,0,74.789902,34.08374,2,1,0,6,11,2,21,Harakat ul-Mujahidin (HuM),2,2,1,1,0,5,0,1,0,-1,Srinagar,Explosives,Government (General),Armed Assault
10,0,1,1,1,0,74.789902,34.08374,3,0,0,6,-1,19,99,Pro-Pakistani extremists,-1,0,0,0,0,0,0,0,0,-1,Srinagar,Explosives,Transportation,Bombing/Explosion
10,0,1,1,1,0,74.857026,32.726602,3,1,0,6,-1,14,74,Unknown,-1,0,0,0,0,20,0,1,0,-1,Jammu,Explosives,Private Citizens & Property,Bombing/Explosion
11,0,1,1,1,1,74.789902,34.08374,2,1,1,5,2,4,34,Lashkar-e-Taiba (LeT),3,0,1,8,2,2,0,1,0,-1,Srinagar,Firearms,Military,Armed Assault
11,0,1,1,1,0,74.789902,34.08374,3,1,0,6,-1,2,15,Unknown,-1,0,0,0,0,10,0,1,0,-1,Srinagar,Explosives,Government (General),Bombing/Explosion
11,0,1,1,1,1,74.555116,34.16047,3,1,0,6,12,4,27,Unknown,-1,-1,0,3,0,3,0,1,0,-1,Pattan district,Explosives,Military,Bombing/Explosion
11,0,1,1,1,0,74.789902,34.08374,3,1,0,6,7,4,27,Unknown,-1,0,0,0,0,2,0,1,0,-1,Srinagar,Explosives,Military,Bombing/Explosion
11,0,1,1,1,0,74.63561,34.419807,2,1,0,5,-1,2,15,Militants,25,0,0,3,0,2,0,1,0,-1,Bandipora,Firearms,Government (General),Armed Assault
12,0,1,1,0,1,74.345243,34.312414,3,1,0,6,7,4,39,Lashkar-e-Taiba (LeT),20,0,0,1,0,0,0,1,0,-1,Dungiwatcha,Explosives,Military,Bombing/Explosion
12,0,1,1,1,0,75.157913,33.732216,3,1,0,6,7,2,18,Unknown,-1,-1,0,0,0,10,0,1,0,-1,Anantnag,Explosives,Government (General),Bombing/Explosion
12,0,1,1,1,0,74.857026,32.726602,3,1,0,6,-1,19,101,Unknown,-1,-1,0,1,0,3,0,1,0,-1,Jammu,Explosives,Transportation,Bombing/Explosion
12,0,1,1,1,0,74.789902,34.08374,2,1,0,6,7,3,22,Unknown,-1,-1,0,0,0,0,0,1,0,-1,Srinagar,Explosives,Police,Armed Assault
1,0,1,1,1,1,75.135264,32.925224,2,1,0,5,-1,3,22,Lashkar-e-Taiba (LeT),-1,0,0,1,-1,2,-1,-1,0,-1,Udhampur,Firearms,Police,Armed Assault
1,0,1,1,1,0,74.789902,34.08374,3,1,0,6,8,14,74,Unknown,-1,0,0,18,0,30,0,1,0,-1,Srinagar,Explosives,Private Citizens & Property,Bombing/Explosion
1,0,1,1,1,0,75.129728,33.741093,2,1,0,5,-1,4,27,Lashkar-e-Taiba (LeT),-1,-1,1,20,3,-1,-1,1,0,-1,Khanabal,Firearms,Military,Armed Assault
1,0,1,1,1,0,74.722282,34.021244,3,1,0,6,-1,21,107,Lashkar-e-Taiba (LeT),-1,0,1,0,0,0,0,1,0,-1,Budgam District,Explosives,Utilities,Bombing/Explosion
1,0,1,1,1,1,74.789902,34.08374,2,1,0,6,7,4,27,Muslim extremists,-1,0,0,4,2,6,0,-1,0,-1,Srinagar,Explosives,Military,Armed Assault
1,0,1,1,1,0,75.548049,33.14575,1,0,0,6,7,2,15,Unknown,-1,0,0,0,0,1,0,1,0,-1,Doda,Explosives,Government (General),Assassination
1,0,1,1,1,0,74.857026,32.726602,3,1,0,6,11,2,15,Unknown,-1,0,0,0,0,0,0,1,0,-1,Jammu,Explosives,Government (General),Bombing/Explosion
1,0,1,1,1,0,74.857026,32.726602,3,1,0,6,-1,14,67,Unknown,-1,0,0,0,0,0,0,1,0,-1,Jammu,Explosives,Private Citizens & Property,Bombing/Explosion
2,0,1,1,1,1,76.576171,33.778175,2,1,0,5,-1,4,34,Unknown,-1,-1,0,4,4,-1,0,0,0,-1,Gaichta-Dudsunbala,Firearms,Military,Armed Assault
2,0,1,1,1,0,74.495056,34.135101,2,1,0,5,-1,3,25,Guerrillas,-1,0,0,6,0,0,0,0,0,-1,Souch Palpora,Firearms,Police,Armed Assault
2,0,1,1,1,1,74.641022,34.225807,1,1,0,6,17,4,29,Hizbul Mujahideen (HM),-1,0,1,2,0,2,0,1,0,-1,Sumbal,Explosives,Military,Assassination
2,0,1,1,1,0,75.15,33.963889,3,1,0,6,8,3,25,Separatists,-1,0,0,10,0,6,0,1,0,-1,Kahlil,Explosives,Police,Bombing/Explosion
2,0,1,1,1,1,75.103386,33.789497,3,1,0,6,8,4,39,Separatists,-1,0,0,0,0,7,0,1,0,-1,Bijbehara,Explosives,Military,Bombing/Explosion
3,0,1,1,1,1,76.576171,33.778175,2,1,0,5,2,4,27,Unknown,-1,-1,0,12,-1,4,-1,-1,0,-1,Badampura,Firearms,Military,Armed Assault
3,0,1,1,1,1,74.369286,33.538588,2,1,0,5,2,4,27,Lashkar-e-Taiba (LeT),4,-1,0,2,1,0,1,-1,0,-1,Thanamandi,Firearms,Military,Armed Assault
3,0,1,1,1,0,74.789902,34.08374,3,1,0,6,7,10,55,Unknown,-1,-1,0,0,0,0,0,1,0,-1,Srinagar,Explosives,Journalists & Media,Bombing/Explosion
3,0,1,1,1,0,76.576171,33.778175,2,1,0,5,2,14,67,Lashkar-e-Taiba (LeT),17,0,0,35,0,1,0,-1,0,-1,Chadisinghpoora,Firearms,Private Citizens & Property,Armed Assault
4,0,1,1,1,0,74.797458,34.025935,3,1,0,6,15,4,29,Unknown,-1,0,0,0,0,1,0,0,0,-1,Rawalpora,Explosives,Military,Bombing/Explosion
4,0,1,1,1,0,74.789902,34.08374,3,1,0,6,-1,10,55,Unknown,-1,0,0,0,0,0,0,1,0,-1,Srinagar,Explosives,Journalists & Media,Bombing/Explosion
4,0,1,1,1,0,74.463715,34.288891,3,1,1,6,15,4,27,Jaish-e-Mohammad (JeM),1,0,0,1,1,7,0,1,0,-1,Sopore,Explosives,Military,Bombing/Explosion
4,0,1,1,1,1,74.463715,34.288891,3,1,0,6,7,4,29,Unknown,-1,0,0,2,0,28,0,1,0,-1,Sopore,Explosives,Military,Bombing/Explosion
4,0,1,1,1,0,74.76,32.587222,3,0,0,6,14,14,67,Unknown,-1,0,0,0,0,0,0,0,0,-1,Chak Mohammad Yar,Explosives,Private Citizens & Property,Bombing/Explosion
4,0,1,1,1,0,74.4848,34.010186,3,1,0,6,17,3,24,Unknown,-1,0,0,1,0,6,0,0,0,-1,Sher Bagh,Explosives,Police,Bombing/Explosion
4,0,1,1,1,0,75.157913,33.732216,3,1,0,6,7,3,23,Unknown,-1,0,0,0,0,2,0,0,0,-1,Anantnag,Explosives,Police,Bombing/Explosion
5,0,1,1,1,0,74.789902,34.08374,3,0,0,6,15,2,18,Unknown,-1,-1,0,0,0,0,0,0,0,-1,Srinagar,Explosives,Government (General),Bombing/Explosion
5,0,1,1,1,0,75.205876,33.561228,1,1,0,6,17,2,15,Hizbul Mujahideen (HM),-1,-1,1,5,-1,2,-1,1,0,-1,Mandi Pora,Explosives,Government (General),Assassination
5,0,1,1,1,0,75.205876,33.561228,1,1,0,6,12,2,15,Hizbul Mujahideen (HM),-1,0,1,5,0,2,0,1,0,-1,Mandi Pora,Explosives,Government (General),Assassination
